"company_id","company_name","year","country","city","consolidation_code","nace_code","icb_code","sic_code","total_assets_eur","total_liabilities_eur","total_equity_eur","total_revenue_eur","net_sales_eur","gross_sales_eur","net_income_eur","ebit_margin_pct","ebitda_margin_pct","roa_pct","roe_pct","net_assets_turnover","stock_turnover","solvency_pct","gearing_pct","current_ratio","liquidity_ratio","shareholders_liq_pct","interest_cover"
"PSI SOFTWARE AGDE2010000074IC","PSI SOFTWARE AG",2020,"Germany","BERLIN","C2",7221,9537,737,248837,154298,94539,227296,225180,225180,16440,7.11,11.88,6.61,15.09,1.28,21.42,37.99,89.59,1.93,1.78,1.13,9.91
"PSI SOFTWARE AGDE2010000074IC","PSI SOFTWARE AG",2020,"Germany","BERLIN","C2",7221,9537,737,259399,159076,100323,221877,217795,217795,13662,6.1,11.61,5.27,10.25,1.2,25.62,38.68,84.23,1.8,1.69,1.19,7.48
"PSI SOFTWARE AGDE2010000074IU","PSI SOFTWARE AG",2020,"Germany","BERLIN","U2",7221,9537,737,141835,56062,85773,79002,71670,71670,0,0.61,4.9,3.72,5.89,0.71,3.61,60.47,NA,2.11,1.38,3.31,0.68
"PSI SOFTWARE AGDE2010000074IU","PSI SOFTWARE AG",2020,"Germany","BERLIN","U2",7221,9537,737,150925,61100,89825,100975,96907,96907,0,6.66,8.36,4.75,5.31,0.86,4.31,59.52,NA,1.93,1.23,3.23,2.78
"SIEMENS AGDE2010000581IAC","SIEMENS AG",2020,"Germany","MÜNCHEN","C*",2911,2737,351,150248,102122,48126,58483,58483,58483,NA,10.56,14.68,4.61,10.75,0.59,3.95,32.03,119.34,1.39,1.1,0.94,6.43
"SIEMENS AGDE2010000581IAC","SIEMENS AG",2020,"Germany","MÜNCHEN","C*",2911,2737,351,123897,87507,36390,55254,55254,55254,NA,8.76,13.94,4.44,11.07,0.62,7.09,29.37,164.75,1.55,1.32,0.68,5.96
"SIEMENS AGDE2010000581IC","SIEMENS AG",2020,"Germany","MÜNCHEN","C2",2911,2737,351,150248000,99264000,50984000,87145000,86849000,86849000,5648000,7.9,11.75,5,10.15,0.88,5.89,33.93,99.11,1.39,1.1,1.05,5.6
"SIEMENS AGDE2010000581IC","SIEMENS AG",2020,"Germany","MÜNCHEN","C2",2911,2737,351,123897000,84074000,39823000,57722000,57139000,57139000,4200000,8.73,13.94,4.58,10.12,0.64,7.41,32.14,131.33,1.55,1.32,0.8,6.12
"SIEMENS AGDE2010000581IU","SIEMENS AG",2020,"Germany","MÜNCHEN","U2",2911,2737,351,100328000,69900000,30428000,31804000,22104000,22104000,NA,29.58,30.86,12.55,36.87,0.54,NA,30.33,94.56,0.59,0.59,1.06,5.28
"AXEL SPRINGER SEDE2010002491IC","AXEL SPRINGER SE",2020,"Germany","BERLIN","C2",2212,5557,271,6851500,4368400,2483100,3220400,3112100,3112100,134600,7.83,17.39,3.01,4.01,0.6,121.52,36.24,121.5,0.87,0.86,0.86,8.26
"AXEL SPRINGER SEDE2010002491IU","AXEL SPRINGER SE",2020,"Germany","BERLIN","U2",2212,5557,271,7083300,4636000,2447300,811900,806800,806800,0,9.29,-21.67,2.24,5.42,0.18,213.66,34.55,84.35,0.12,0.11,1.19,-11.01
"GSW IMMOBILIEN AGDE2010015159IC","GSW IMMOBILIEN AG",2020,"Germany","BERLIN","C2",4521,NA,153,9017904,3965335,5052569,424604,423196,423196,517661,48.89,49.82,7.54,10.25,0.05,NA,56.03,75.38,3.09,3.09,1.33,4.39
"GSW IMMOBILIEN AGDE2010015159IC","GSW IMMOBILIEN AG",2020,"Germany","BERLIN","C2",4521,NA,153,9703888,4246573,5457315,709989,700760,700760,484129,26.71,27.83,7.3,8.87,0.07,NA,56.24,75.2,1.27,1.27,1.33,4.8
"GSW IMMOBILIEN AGDE2010015159IU","GSW IMMOBILIEN AG",2020,"Germany","BERLIN","U2",4521,NA,153,3163270,1987901,1175369,316245,299279,299279,NA,23.24,33.84,2.32,7.43,0.1,3.07,37.16,157.87,1.49,0.78,0.64,2.2
"GSW IMMOBILIEN AGDE2010015159IU","GSW IMMOBILIEN AG",2020,"Germany","BERLIN","U2",4521,NA,153,3325587,2008318,1317269,323878,311434,311434,NA,16.94,34.88,6.91,16.8,0.1,3.15,39.61,138.03,0.84,0.32,0.73,1.66
"BASTFASERKONTOR AGDE2010026987IU","BASTFASERKONTOR AG",2020,"Germany","BERLIN","U1",7031,8737,653,64564,51270,13294,2866,2751,2751,0,32.69,49.72,1.4,4.89,0.21,6.67,20.59,0.35,0.32,0.31,282.85,26.03
"BASTFASERKONTOR AGDE2010026987IU","BASTFASERKONTOR AG",2020,"Germany","BERLIN","U1",7031,8737,653,80175,24728,55447,52416,52176,52176,0,95.2,97.21,62.57,76.05,0.67,91.48,69.16,42.23,20.49,20.14,2.4,475.24
"BETA SYSTEMS SOFTWARE AGDE2010031834IC","BETA SYSTEMS SOFTWARE AG",2020,"Germany","BERLIN","C2",7221,9537,737,87038,34506,52532,53486,53287,53287,6024,16.03,19.61,10.43,11.46,0.83,NA,60.36,25.79,2.57,2.57,4.41,91.21
"BETA SYSTEMS SOFTWARE AGDE2010031834IC","BETA SYSTEMS SOFTWARE AG",2020,"Germany","BERLIN","C2",7221,9537,737,105941,44017,61924,73129,72084,72084,9240,16.92,23.93,11.73,14.82,0.9,NA,58.45,38.24,2.72,2.72,3.22,36.28
"BETA SYSTEMS SOFTWARE AGDE2010031834IU","BETA SYSTEMS SOFTWARE AG",2020,"Germany","BERLIN","U2",7221,9537,737,86038,31155,54883,9719,6657,6657,0,-30.11,8.31,10.65,14.92,0.15,NA,63.79,20.11,1.63,NA,5.82,5.05
"BETA SYSTEMS SOFTWARE AGDE2010031834IU","BETA SYSTEMS SOFTWARE AG",2020,"Germany","BERLIN","U2",7221,9537,737,95930,31318,64612,11162,7348,7348,0,NA,11.64,11.43,15.35,0.15,NA,67.35,15.26,1.87,NA,7.82,0.29
"TELES AG INFORMATIONSTECHNOLOGIENDE2010033498IU","TELES AG INFORMATIONSTECHNOLOGIEN",2020,"Germany","BERLIN","U1",3220,9535,366,2777,2777,0,10016,4160,4160,3870,47.5,47.67,NA,NA,11.04,NA,0,NA,0.21,0.21,0,21.53
"TELES AG INFORMATIONSTECHNOLOGIENDE2010033498IU","TELES AG INFORMATIONSTECHNOLOGIEN",2020,"Germany","BERLIN","U1",3220,9535,366,1177,1164,13,4087,2818,2818,824,22.12,22.61,75.36,NA,5.41,NA,1.1,NA,2.69,2.68,0.02,60.27
"FERNHEIZWERK NEUKOELLN AGDE2010061423IC","FERNHEIZWERK NEUKOELLN AG",2020,"Germany","BERLIN","C1",4030,7577,496,69950,17142,52808,37829,37419,37419,6623,25.23,35.54,13.62,12.54,0.57,19.87,75.49,NA,6.78,6.28,3.96,530.33
"FERNHEIZWERK NEUKOELLN AGDE2010061423IC","FERNHEIZWERK NEUKOELLN AG",2020,"Germany","BERLIN","C1",4030,7577,496,75120,18951,56169,37554,37056,37056,7041,26.96,37.38,13.48,12.54,0.53,19.11,74.77,NA,5.89,5.49,3.99,NA
"ZOOLOGISCHER GARTEN BERLIN AGDE2010062014IU","ZOOLOGISCHER GARTEN BERLIN AG",2020,"Germany","BERLIN","U1",9233,5755,799,90672,25212,65460,34794,27563,27563,0,5.63,12.95,1.94,2.57,0.41,196.58,72.19,30.63,4.25,4.22,3.26,5.6
"ZOOLOGISCHER GARTEN BERLIN AGDE2010062014IU","ZOOLOGISCHER GARTEN BERLIN AG",2020,"Germany","BERLIN","U1",9233,5755,799,90506,29147,61359,27581,17057,17057,0,-12.76,-3.48,-4.45,-6.68,0.32,142.91,67.8,38.32,2.38,2.35,2.61,-5.4
"DEUTSCHE GRUNDSTUECKSAUKTIONEN AGDE2010107823IU","DEUTSCHE GRUNDSTUECKSAUKTIONEN AG",2020,"Germany","BERLIN","U1",7031,8733,653,8556,589,7967,3553,3428,3428,0,21.47,-13.31,8.94,6.21,0.44,710.6,93.12,NA,11.18,11.17,204.28,NA
"DEUTSCHE GRUNDSTUECKSAUKTIONEN AGDE2010107823IU","DEUTSCHE GRUNDSTUECKSAUKTIONEN AG",2020,"Germany","BERLIN","U1",7031,8733,653,11475,1696,9779,5772,5662,5662,0,51.66,22.09,26.12,20.99,0.56,NA,85.22,NA,8.07,8.06,17.4,525.5
"AAP IMPLANTATE AGDE2010343061IC","AAP IMPLANTATE AG",2020,"Germany","BERLIN","C2",3310,4535,384,26288,7419,18869,12837,11739,11739,-19439,-58.33,-40.21,-76.22,-103.02,0.59,1.67,71.78,17.03,3.12,1.4,6.39,-23.18
"AAP IMPLANTATE AGDE2010343061IC","AAP IMPLANTATE AG",2020,"Germany","BERLIN","C2",3310,4535,384,19706,9414,10292,10149,9326,9326,-8937,-78.31,-48.26,-44.74,-86.83,0.69,1.46,52.23,48.26,2.1,0.71,2.34,-23.45
"AAP IMPLANTATE AGDE2010343061IU","AAP IMPLANTATE AG",2020,"Germany","BERLIN","U2",3310,4535,384,29651,5913,23738,12912,11670,11669,NA,NA,-31.61,-76.14,-116.65,0.46,2.38,80.06,18.86,13.38,9.61,5.3,-74.07
"AAP IMPLANTATE AGDE2010343061IU","AAP IMPLANTATE AG",2020,"Germany","BERLIN","U2",3310,4535,384,24570,8634,15936,9458,8552,8551,0,-77.57,-53.26,-32.98,-50.85,0.42,2.21,64.86,43.01,4.45,2.05,2.33,-22.17
"TLG IMMOBILIEN AGDE2010376582IC","TLG IMMOBILIEN AG",2020,"Germany","BERLIN","C2",7031,NA,653,6902309,3455662,3446647,284484,282725,282725,813549,58.93,59.54,11.79,16.59,0.04,387.58,49.93,98.05,3.67,3.67,1.04,3.79
"TLG IMMOBILIEN AGDE2010376582IC","TLG IMMOBILIEN AG",2020,"Germany","BERLIN","C2",7031,NA,653,6646222,3212422,3433800,333916,269796,269796,649063,65.55,66.12,9.77,13.71,0.05,454.93,51.67,87.2,3.66,3.66,1.17,3.26
"TLG IMMOBILIEN AGDE2010376582IU","TLG IMMOBILIEN AG",2020,"Germany","BERLIN","U2",7031,NA,653,4672023,3248304,1423719,267579,252287,252287,0,28.21,46.76,0.87,1.95,0.06,7.65,30.47,221.2,3.04,2.84,0.46,1.4
"TLG IMMOBILIEN AGDE2010376582IU","TLG IMMOBILIEN AG",2020,"Germany","BERLIN","U2",7031,NA,653,4604611,3049686,1554925,733983,717319,717319,0,46.61,52.2,6.6,15.23,0.17,21.25,33.77,176.75,1.85,1.75,0.57,4.3
"STUDIO BABELSBERG AGDE2010391245IC","STUDIO BABELSBERG AG",2020,"Germany","POTSDAM","C2",9211,5553,781,54857,22003,32854,74380,73127,73127,2079,3.5,4.72,4.5,6.33,2.03,27.32,59.89,11.94,1.35,1.2,8.82,12.7
"STUDIO BABELSBERG AGDE2010391245IC","STUDIO BABELSBERG AG",2020,"Germany","POTSDAM","C2",9211,5553,781,63853,20825,43028,138815,134981,134981,10801,8.91,9.66,19.54,25.05,2.92,45.07,67.39,11.06,2.06,1.87,9.44,145.59
"STUDIO BABELSBERG AGDE2010391245IU","STUDIO BABELSBERG AG",2020,"Germany","POTSDAM","U2",9211,5553,781,40442,10570,29872,11029,10067,10067,0,21.46,28.42,5.79,6.91,0.34,NA,73.86,8.17,1.29,NA,13.31,13.47
"STUDIO BABELSBERG AGDE2010391245IU","STUDIO BABELSBERG AG",2020,"Germany","POTSDAM","U2",9211,5553,781,48942,9553,39389,19499,17750,17750,0,57.76,52.43,23.4,25.75,0.46,NA,80.48,8.18,2.91,NA,13.05,100.91
"RED ROCK CAPITAL AGDE2010472759IU","RED ROCK CAPITAL AG",2020,"Germany","BERLIN","U1",NA,9537,671,1545,379,1166,302,0,0,NA,NA,NA,-66.47,-88.08,0.22,NA,75.47,NA,7.63,NA,6.1,NA
"CO.DON AGDE2010615618IC","CO.DON AG",2020,"Germany","TELTOW","C2",2442,4577,283,24830,13321,11509,7121,6856,6856,-12629,NA,NA,-53,-109.73,0.33,14.56,46.35,NA,1.79,1.66,1.18,-2.02
"CO.DON AGDE2010615618IC","CO.DON AG",2020,"Germany","TELTOW","C2",2442,4577,283,29011,8397,20614,6846,6233,6233,-13869,NA,NA,-50.27,-67.28,0.26,14.54,71.06,NA,3.98,3.81,3.72,-2.92
"CO.DON AGDE2010615618IU","CO.DON AG",2020,"Germany","TELTOW","U2",2442,4577,283,25261,13849,11412,6795,6552,6552,0,NA,NA,-45.05,-101.03,0.53,12.45,45.18,109.02,0.68,0.63,7.53,-9.08
"CO.DON AGDE2010615618IU","CO.DON AG",2020,"Germany","TELTOW","U2",2442,4577,283,27195,6384,20811,6177,5579,5579,0,NA,NA,-51.24,-65.77,0.28,12.63,76.53,15.98,2.28,2.19,15.71,-5.42
"DEAG DEUTSCHE ENTERTAINMENT AGDE2010780764IC","DEAG DEUTSCHE ENTERTAINMENT AG",2020,"Germany","BERLIN","C2",9272,5755,799,185178,160022,25156,190016,185212,185212,559,4.07,6.55,1.02,-4.72,2.36,14.48,13.58,263.05,0.76,0.63,0.46,1.92
"DEAG DEUTSCHE ENTERTAINMENT AGDE2010780764IC","DEAG DEUTSCHE ENTERTAINMENT AG",2020,"Germany","BERLIN","C2",9272,5755,799,186481,165030,21451,63125,49945,49945,-2887,2.17,14.9,-2.03,-5.75,0.78,4.29,11.5,345.77,0.79,0.66,0.36,0.29
"DEAG DEUTSCHE ENTERTAINMENT AGDE2010780764IU","DEAG DEUTSCHE ENTERTAINMENT AG",2020,"Germany","BERLIN","U2",9272,5755,799,70057,49134,20923,2583,1745,1745,0,NA,NA,-6.44,-21.58,0.04,NA,29.87,NA,4.71,NA,0.55,-4.08
"DEAG DEUTSCHE ENTERTAINMENT AGDE2010780764IU","DEAG DEUTSCHE ENTERTAINMENT AG",2020,"Germany","BERLIN","U2",9272,5755,799,82002,62671,19331,5661,546,546,0,-32.47,-32.47,-1.86,-8.24,0.09,NA,23.57,NA,3.82,NA,0.42,-1.26
"HMS BERGBAU AGDE2010810986IC","HMS BERGBAU AG",2020,"Germany","BERLIN","C1",5248,1771,598,51120,35820,15300,215478,215423,215423,513,0.98,1.01,2.89,3.35,9,NA,29.93,96.23,1.27,1.27,1.77,1.96
"HMS BERGBAU AGDE2010810986IC","HMS BERGBAU AG",2020,"Germany","BERLIN","C1",5248,1771,598,70973,53367,17606,269119,267082,267082,2810,1.47,1.97,5.15,15.96,9.83,NA,24.81,88.88,1.1,1.1,1.8,4.46
"HAEMATO AGDE2010839893IC","HAEMATO AG",2020,"Germany","BERLIN","C1",7011,8733,655,128567,56348,72219,199295,197835,197835,-1173,-0.01,0.95,-0.92,-1.62,2.73,3.59,56.17,40.67,1.31,0.31,88.29,-0.02
"HAEMATO AGDE2010839893IC","HAEMATO AG",2020,"Germany","BERLIN","C1",7011,8733,655,169058,43578,125480,238821,238333,238333,-4831,0.68,1.39,-2.69,-3.85,1.89,6.8,74.22,14.95,2.77,1.95,192.16,2.02
"SOLUTIANCE AGDE2010923645IC","SOLUTIANCE AG",2020,"Germany","GROßBEEREN","C2",3320,2799,382,2971,4064,-1093,1441,1227,1227,-3097,NA,NA,NA,NA,0.54,7.24,-36.79,NA,3.98,3.29,-0.29,-17.24
"SOLUTIANCE AGDE2010923645IC","SOLUTIANCE AG",2020,"Germany","GROßBEEREN","C2",3320,2799,382,3884,6751,-2867,2131,1954,1954,-2988,NA,NA,-77.88,NA,0.66,22.91,-73.82,NA,0.87,0.73,-0.47,-17.69
"SOLUTIANCE AGDE2010923645IU","SOLUTIANCE AG",2020,"Germany","GROßBEEREN","U2",3320,2799,382,5693,1680,4013,619,595,595,0,-22.78,-22.62,-5.99,-8.5,0.12,NA,70.49,NA,3.44,3.44,3.84,-0.84
"SOLUTIANCE AGDE2010923645IU","SOLUTIANCE AG",2020,"Germany","GROßBEEREN","U2",3320,2799,382,6954,1981,4973,646,631,631,0,-21.21,-21.05,-3.64,-5.09,0.11,NA,71.51,NA,4.24,4.24,4.25,-0.93
"ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AGDE2010953259IC","ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AG",2020,"Germany","BERLIN","C2",5154,1357,507,274236,134795,139441,181310,178493,178493,22478,17.79,23.95,11.39,15.79,0.79,5.81,50.85,65.4,3.36,2.65,1.53,29.54
"ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AGDE2010953259IC","ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AG",2020,"Germany","BERLIN","C2",5154,1357,507,292003,143084,148919,181879,176139,176139,23111,19.65,25.86,11.21,15.37,0.75,5.42,51,63.1,3.52,2.84,1.58,30.24
"ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AGDE2010953259IU","ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AG",2020,"Germany","BERLIN","U2",5154,1357,507,105518,11366,94152,7571,6882,6882,0,NA,-92.01,15.7,11.94,0.07,NA,89.23,NA,19.68,NA,9.35,-82.44
"ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AGDE2010953259IU","ECKERT & ZIEGLER STRAHLEN- UND MEDIZINTECHNIK AG",2020,"Germany","BERLIN","U2",5154,1357,507,107065,4218,102847,7498,7394,7394,0,NA,35.85,21.47,16.96,0.07,NA,96.06,NA,45.24,NA,28.8,30.34
"WILD BUNCH AGDE2011025844IC","WILD BUNCH AG",2020,"Germany","BERLIN","C2",9211,5553,781,283059,177278,105781,85178,77733,77733,-11981,-7.02,23.7,-4,-11.28,0.47,77.08,37.37,101.51,0.82,0.81,1.43,-0.39
"WILD BUNCH AGDE2011025844IC","WILD BUNCH AG",2020,"Germany","BERLIN","C2",9211,5553,781,205168,174518,30650,59876,53174,53174,-76343,NA,22.14,-36.72,-249.22,0.57,23.73,14.94,374.89,0.74,0.71,0.41,-9.07
"WILD BUNCH AGDE2011025844IU","WILD BUNCH AG",2020,"Germany","BERLIN","U2",9211,5553,781,180879,37615,143264,538,424,424,0,NA,NA,-0.84,-1.06,0,NA,79.2,18.42,1.56,1.56,22.4,-1.47
"WILD BUNCH AGDE2011025844IU","WILD BUNCH AG",2020,"Germany","BERLIN","U2",9211,5553,781,96187,39924,56263,455,386,386,0,-91.43,NA,-91.8,-156.94,0.01,NA,58.49,35.28,0.66,0.66,7.29,-1.02
"IVU TRAFFIC TECHNOLOGIES AGDE2011032260IC","IVU TRAFFIC TECHNOLOGIES AG",2020,"Germany","BERLIN","C2",5184,9537,504,105252,48449,56803,88936,88787,88787,10086,11.52,14.05,9.58,18.63,1.31,33.04,53.97,19.85,2.2,2.13,5.04,36.87
"IVU TRAFFIC TECHNOLOGIES AGDE2011032260IC","IVU TRAFFIC TECHNOLOGIES AG",2020,"Germany","BERLIN","C2",5184,9537,504,125349,62551,62798,98008,92031,92031,12189,12.91,15.49,9.72,16.07,1.27,26.09,50.1,NA,2.03,1.95,4.43,46.68
"IVU TRAFFIC TECHNOLOGIES AGDE2011032260IU","IVU TRAFFIC TECHNOLOGIES AG",2020,"Germany","BERLIN","U2",5184,9537,504,85042,52619,32423,74712,74315,74315,NA,8.94,10.05,7.71,30.41,1.3,3.31,38.13,NA,2.98,2.16,1.3,23.27
"IVU TRAFFIC TECHNOLOGIES AGDE2011032260IU","IVU TRAFFIC TECHNOLOGIES AG",2020,"Germany","BERLIN","U2",5184,9537,504,103886,63286,40600,92153,86225,86225,0,14.81,15.9,13.39,42.88,1.06,3.87,39.08,NA,5.93,4.53,0.88,52.68
"FIRST SENSOR AGDE2011054615IC","FIRST SENSOR AG",2020,"Germany","BERLIN","C2",3210,2737,367,179656,89775,89881,162811,161275,161275,3519,3.11,9.95,1.96,2.55,1.33,4.56,50.03,67.78,1.47,0.85,2.76,2.99
"FIRST SENSOR AGDE2011054615IC","FIRST SENSOR AG",2020,"Germany","BERLIN","C2",3210,2737,367,179775,44152,135623,203889,154816,154816,53486,27.37,33,29.85,38.72,1.26,7.02,75.44,21.28,5.52,3.93,5.24,31.62
"EPIGENOMICS AGDE2011067474IC","EPIGENOMICS AG",2020,"Germany","BERLIN","C2",2442,4573,283,13989,4360,9629,1426,1125,1125,-17020,NA,NA,NA,-176.76,0.14,4.56,68.83,NA,3.35,3.26,12.99,NA
"EPIGENOMICS AGDE2011067474IC","EPIGENOMICS AG",2020,"Germany","BERLIN","C2",2442,4573,283,6797,2933,3864,992,843,843,-11686,NA,NA,NA,-302.43,0.23,8.13,56.85,NA,2.24,2.19,7.79,NA
"EPIGENOMICS AGDE2011067474IU","EPIGENOMICS AG",2020,"Germany","BERLIN","U2",2442,4573,283,28088,2546,25542,2683,1523,1523,-9702,NA,NA,-34.54,-37.98,0.1,15.07,90.94,NA,17.65,17.53,24.54,NA
"EPIGENOMICS AGDE2011067474IU","EPIGENOMICS AG",2020,"Germany","BERLIN","U2",2442,4573,283,11201,1647,9554,1507,1036,1036,-19987,NA,NA,NA,-209.2,0.14,15.38,85.3,NA,16.45,16.28,9.11,NA
"MAGFORCE AGDE2011183882IU","MAGFORCE AG",2020,"Germany","BERLIN","U1",2442,4535,283,36660,21952,14708,1669,840,840,0,NA,NA,-23.81,-59.36,0.05,28.29,40.12,127.37,0.51,0.5,0.79,-3.66
"MAGFORCE AGDE2011183882IU","MAGFORCE AG",2020,"Germany","BERLIN","U1",2442,4535,283,65592,30076,35516,26791,621,621,0,68.5,70.98,22.49,41.52,0.44,169.56,54.15,71.55,0.81,0.77,1.4,6.04
"HYPOPORT AGDE2011183896IC","HYPOPORT AG",2020,"Germany","BERLIN","C1",6713,8775,609,391579,213204,178375,339609,337243,337243,33007,9.72,15.38,8.03,13.67,1.1,312.43,45.55,80.12,1.07,1.05,1.36,15.91
"HYPOPORT AGDE2011183896IC","HYPOPORT AG",2020,"Germany","BERLIN","C1",6713,8775,609,552047,330655,221392,392098,387729,387729,36236,9.24,16.28,6.05,12.32,0.87,259.84,40.1,109.41,1.1,1.09,0.97,11.82
"YOC AGDE2011236634IC","YOC AG",2020,"Germany","BERLIN","C2",6420,5555,489,6472,10825,-4353,15428,15105,15105,-473,-0.41,3.28,-5.05,NA,NA,NA,-67.26,NA,0.56,0.56,-1.36,-0.25
"YOC AGDE2011236634IC","YOC AG",2020,"Germany","BERLIN","C2",6420,5555,489,7200,11215,-4015,15684,15492,15492,312,5.62,10.39,7.43,NA,NA,NA,-55.76,NA,0.59,0.59,-1.36,3.33
"YOC AGDE2011236634IU","YOC AG",2020,"Germany","BERLIN","U2",6420,5555,489,9468,13502,-4034,7725,7666,7666,0,-14.64,-12.88,-17.72,NA,1.06,NA,-42.61,NA,1.89,NA,-0.36,-4.19
"YOC AGDE2011236634IU","YOC AG",2020,"Germany","BERLIN","U2",6420,5555,489,10325,15079,-4754,10896,10132,10132,0,0.29,-2.29,-6.96,NA,1.36,NA,-46.04,NA,1.98,NA,-0.37,-2.39
"COBRACREST AG & CO. KGAADE2011240337IC","COBRACREST AG & CO. KGAA",2020,"Germany","FRANKFURT AM MAIN","C2",7221,8985,737,16999,8006,8993,5131,10,10,-28549,NA,64.67,NA,-313.19,0.31,NA,52.9,NA,24.69,24.69,1.17,NA
"COBRACREST AG & CO. KGAADE2011240337IU","COBRACREST AG & CO. KGAA",2020,"Germany","FRANKFURT AM MAIN","U2",7221,8985,737,21431,207,21224,5,5,5,0,NA,NA,-88.62,-89.49,0,NA,99.03,NA,7.57,NA,160.79,NA
"WALLSTREET:ONLINE AGDE2011240551IC","WALLSTREET:ONLINE AG",2020,"Germany","BERLIN","C2",7440,5557,731,36021,8875,27146,8695,8550,8550,0,42.56,42.75,8.39,7,0.31,NA,75.36,NA,1.01,NA,22.38,74.02
"WALLSTREET:ONLINE AGDE2011240551IC","WALLSTREET:ONLINE AG",2020,"Germany","BERLIN","C2",7440,5557,731,51153,20928,30225,28378,28208,28208,3552,6.91,15.7,8.91,11.75,0.72,NA,59.09,37.07,1.89,1.89,3.32,11.68
